flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
VLG2486,AIRBUS A319,2018-04-16,06:45,BARCELONA-EL PRAT,BCN,T1,Salida prevista a las 06:45,14,22,Nubes Altas,501 - 514, - ,2018-04-16,07:55,SAN SEBASTIAN,EAS,1,Llegada prevista a las 07:55,12,18,Chubascos Dispersos,LLEG,1,2018-04-15 18:48:37
IBE8314,ATR-72,2018-04-16,08:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Salida prevista a las 08:00,7,17,Abertura De Claros,810 - 859, - ,2018-04-16,09:15,SAN SEBASTIAN,EAS,1,Llegada prevista a las 09:15,12,18,Chubascos Dispersos,LLEG,1,2018-04-15 18:48:38
IBE8320,ATR-72,2018-04-16,09:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Salida prevista a las 09:25,7,17,Abertura De Claros,810 - 859, - ,2018-04-16,10:40,SAN SEBASTIAN,EAS,1,Llegada prevista a las 10:40,12,18,Chubascos Dispersos,LLEG,1,2018-04-15 18:48:39
AEA6072,BOEING 737-800 WINGLETS,2018-04-15,17:05,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 16:57,11,21,Despejado,086 - 091,D82,2018-04-15,17:55,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 17:45,14,22,Nubes Altas,T1_G,03,2018-04-15 18:48:29
VLG3913,32A,2018-04-15,17:30,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 17:33,11,21,Despejado,058 - 060,D80,2018-04-15,18:25,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 18:18,14,22,Nubes Altas,T1_G,02,2018-04-15 18:48:32
IBS3915,AIRBUS A320,2018-04-15,17:40,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 17:35,11,21,Despejado,054 - 055,D99,2018-04-15,19:05,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 19:00,7,17,Abertura De Claros,10,16,2018-04-15 18:48:41
IBS3925,AIRBUS A320,2018-04-15,17:40,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 17:47,11,21,Despejado,054 - 055,D92,2018-04-15,19:05,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 19:05,7,17,Abertura De Claros,10,13,2018-04-15 18:48:42
IBE8524,CANADAIR CRJ-900,2018-04-15,16:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 16:37,7,17,Abertura De Claros,810 - 819,K77,2018-04-15,17:25,PAMPLONA,PNA,-,El vuelo ha aterrizado a las 17:29,5,19,Nubosidad Variable,-, - ,2018-04-15 18:48:32
IBE8532,BOMBARDIER CRJ-1000,2018-04-15,19:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Salida prevista a las 20:08,7,17,Abertura De Claros,810 - 819, - ,2018-04-15,20:45,PAMPLONA,PNA,-,Llegada prevista a las 20:45,5,19,Nubosidad Variable,-, - ,2018-04-15 18:48:37
IBE8526,BOMBARDIER CRJ-1000,2018-04-15,22:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Salida prevista a las 22:15,7,17,Abertura De Claros,810 - 819, - ,2018-04-15,23:10,PAMPLONA,PNA,-,Llegada prevista a las 23:10,5,19,Nubosidad Variable,-, - ,2018-04-15 18:48:38
